Title,Name,Ratings,Review
Experience the satisfaction,4 years ago by Dp Singh,4,Awesome bike for daily use in local.It is a vibration and soundless eco-friendly bike with electric charging 6 to 8 hrs for 55 km approx.Very useful for daily use.Alloy wheels with 25 km/h ideal speed .Especially i referred this for kids and parents.I also ride this bike for daily use and pleasure to buy again for my father .
The priceless bike,3 years ago by Neeraj Singh,5,"Amazing bike ,,value of money.It is best and thanks to hero for make this amazing bike.I this this one is a best electric bike whenever.I am riding it daily .It is very comfortable electric bike.I recommend to all bike user please buy it ,because it is very cheap price,,and it will not pollute atmosphere."
Service problem,1 month ago by Ram Pareek,1,"Servicing is too bad.Any time you take it for service it takes more time. We have only service issues because any time, I want to service my bike it takes almost 3 months and any time I ask for my bike they (service canter) called me that your bike is almost ready but it takes more some time to get ready. And now my bike is in service centre more then 3 months. I am feeling like I am cheated by hero electric"
Excellent electric bike,9 months ago by Hemanth,5,Bike cost was very cheapIt was best in riding distance of 40 - 50 kmsIt is available in many colorsIt looks good and amazing5 years guaranteed in serviceGood pickup and battery serviceIt doesn't have any maintenanceIt satisfies us goodFast chargingGood pickupIt manufacturing by hero company so we give full hope on it.
Need attention to read review,3 years ago by Mohammed Naser Khan,4,"Just checked with my neighbour with his experienced, its too good & comfort to drive in any atmosphere. Specially for the elder people its easy to handle & control with its specific road grip with passionate look for all.Now a days fuel is putting burden on everyone shoulder so, this will be its replacement."
Pros and cons,4 years ago by Shradha,4,
Very bad service,1 month ago by Yashpareek,1,Hero electric service is very bad Company not provide good service for customersThis is bad thing about company Hero electric  vehicle are good  but hero electric service is very bad.Hero electric customer not satisfied by service Customer are not happy after use hero electric vehicles  this is my personal experience.
Good scooter,12 months ago by Asim Tudu,5,"Buying experience is good. Rides very smooth. Nice looks. In case of performance, I would to say this is only used for domestic purpose. it may run 90 km on a single charge if it is driven in 15-18 km/h speed limit. Don't expect it like a petrol vehicle.Its a very silent machine. Don't ride double if road is broken. Company should arrange for a service centre first before selling the bike."
Fabulous experience,2 years ago by Ps Ban,4,"Stunning looking bike,awesome riding comfort ,smoother and noise free movement , very less maintenance which avoid undue hackles ,just charge the battery and go for smooth hassle free ride.Decent color make it beautiful and stunning looking  light weight body above all very good bike in affordable price with pollution free experience."
Best environment friendly scooty,2 years ago by Sanjeet Kumar,5,"The best thing i like in this scooter is that is environment friendly i.E pollution free. The style is decent with a good capacity and average speed that is needed in a city, if everybody uses this type of scooty country will become pollution free and less chances of road accident. India need for this."
Value for money deal,3 years ago by Naman Jain,5,"I like this scooter very much as the handling is very smooth.I would say this scooter is very safe and can be best suited for kids and our elders. Look wise it is also very stylist , you can also show off certain times as well. The maintainable cost of this scooter is very low and the parts are easily available in the showroom with low servicing fee. Over all it’s the value for money deal There is no such thing which i dislike about this scooter But one thing i would say is the headlight can be more bright as i feel it is less bright."
